                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73563,                  2.515,                 1.2081,                0.74751,                0.28534,                0.29084,                0.23145,                0.82263,                  2.269,                 1.0894,                 0.0003,                 0.0003,                 0.0003
                      2,                 0.7376,                 1.6505,                 1.1997,                0.50657,                0.39442,                0.36871,                0.28727,                0.83082,                 1.8495,                 1.0724,             0.00059703,             0.00059703,             0.00059703
                      3,                0.71681,                 1.4076,                  1.165,                0.54909,                0.47348,                0.44148,                0.31413,                0.98318,                 2.0845,                 1.2701,             0.00088806,             0.00088806,             0.00088806
                      4,                0.73543,                 1.3448,                 1.1692,                0.63675,                0.50497,                0.51623,                0.38859,                0.85055,                 1.4752,                 1.1371,               0.000882,               0.000882,               0.000882
                      5,                0.71751,                   1.22,                 1.1554,                0.71393,                0.47864,                0.51211,                0.42752,                0.76463,                 1.4369,                0.98978,               0.000882,               0.000882,               0.000882
                      6,                0.68818,                 1.1415,                 1.1347,                0.58739,                0.58288,                0.51364,                0.38424,                0.81575,                 1.4388,                 1.0819,               0.000873,               0.000873,               0.000873
                      7,                0.67273,                 1.0708,                 1.1337,                0.68465,                0.47536,                0.54461,                0.43645,                0.72365,                 1.4682,                0.97009,               0.000864,               0.000864,               0.000864
                      8,                0.65221,                   1.02,                   1.12,                0.73443,                 0.6195,                0.63787,                0.53859,                0.66403,                 1.0154,                 0.9186,             0.00085501,             0.00085501,             0.00085501
                      9,                0.63186,                0.97454,                 1.1092,                0.75697,                0.53706,                0.61445,                0.50649,                 0.6727,                 1.2292,                0.95405,             0.00084601,             0.00084601,             0.00084601
                     10,                0.63186,                 0.9592,                 1.1095,                0.74203,                0.61301,                0.63514,                0.53283,                0.63465,                 1.0035,                0.90801,             0.00083701,             0.00083701,             0.00083701
                     11,                0.61076,                0.88655,                 1.0952,                0.73672,                0.58207,                0.61807,                0.51514,                0.62192,                 1.1324,                0.90476,             0.00082801,             0.00082801,             0.00082801
                     12,                0.59287,                0.86498,                 1.0899,                0.81365,                0.57043,                0.65551,                0.56327,                0.60214,                  0.976,                0.87408,             0.00081901,             0.00081901,             0.00081901
                     13,                0.60248,                0.85498,                 1.0909,                0.76785,                0.58103,                0.63926,                 0.5399,                0.64573,                0.98722,                0.92007,             0.00081001,             0.00081001,             0.00081001
                     14,                0.59277,                0.83555,                 1.0897,                0.77528,                0.57146,                0.65196,                0.54973,                0.66851,                 1.1486,                0.94469,             0.00080101,             0.00080101,             0.00080101
                     15,                0.58606,                0.81752,                 1.0781,                0.80893,                0.64923,                0.70057,                0.60546,                 0.5957,                0.82986,                0.88167,             0.00079201,             0.00079201,             0.00079201
                     16,                0.57859,                0.77519,                 1.0775,                0.83187,                0.59345,                0.67173,                0.55306,                0.64735,                  0.951,                0.93226,             0.00078301,             0.00078301,             0.00078301
                     17,                0.56466,                0.76143,                 1.0678,                0.80492,                0.61379,                0.66959,                0.58953,                0.56776,                0.85613,                0.84281,             0.00077401,             0.00077401,             0.00077401
                     18,                0.57235,                0.75393,                 1.0752,                 0.8059,                0.64173,                0.69988,                 0.5953,                0.60228,                0.88687,                0.88709,             0.00076501,             0.00076501,             0.00076501
                     19,                0.56697,                0.73014,                  1.069,                0.78658,                0.62395,                0.68488,                0.58097,                0.58582,                0.87422,                0.86571,             0.00075602,             0.00075602,             0.00075602
                     20,                0.55958,                0.72626,                 1.0662,                0.80458,                0.57616,                0.62673,                0.54914,                0.59644,                 1.1306,                0.87444,             0.00074702,             0.00074702,             0.00074702
                     21,                 0.5485,                 0.7335,                 1.0579,                0.77611,                0.64554,                0.69136,                0.59886,                0.57381,                0.90174,                0.84581,             0.00073802,             0.00073802,             0.00073802
                     22,                0.54556,                0.67722,                 1.0554,                0.78537,                0.62507,                 0.6982,                0.59915,                0.59628,                 0.9181,                 0.8763,             0.00072902,             0.00072902,             0.00072902
                     23,                 0.5424,                0.69272,                 1.0575,                0.78293,                0.63839,                0.67333,                 0.5869,                0.56782,                0.87076,                0.86052,             0.00072002,             0.00072002,             0.00072002
                     24,                0.53919,                0.69107,                 1.0582,                0.74795,                0.62261,                0.67039,                0.58206,                0.57154,                0.94662,                0.85956,             0.00071102,             0.00071102,             0.00071102
                     25,                0.54502,                0.67314,                 1.0555,                0.77598,                 0.6111,                0.64086,                0.54374,                0.59417,                 1.0742,                0.86982,             0.00070202,             0.00070202,             0.00070202
                     26,                0.53293,                0.65506,                  1.052,                0.78911,                0.66175,                0.68044,                0.58161,                0.57566,                0.85681,                0.85418,             0.00069302,             0.00069302,             0.00069302
                     27,                0.51965,                0.65028,                 1.0441,                0.86036,                0.66472,                0.71796,                0.63834,                0.53188,                0.74324,                0.80866,             0.00068402,             0.00068402,             0.00068402
                     28,                0.52891,                0.63187,                 1.0489,                0.70189,                0.63829,                0.71318,                0.62167,                0.55603,                0.76364,                 0.8454,             0.00067502,             0.00067502,             0.00067502
